ticker,date,adj_close,ret
CTRA,2025-03-27,27.5753,-0.012123
CTRA,2025-03-28,27.6816,0.003857
CTRA,2025-03-31,27.9427,0.009431
CTRA,2025-04-01,28.1070,0.005882
CTRA,2025-04-02,28.0297,-0.002752
CTRA,2025-04-03,26.4537,-0.056226
CTRA,2025-04-04,24.2879,-0.081871
CTRA,2025-04-07,24.2105,-0.003185
CTRA,2025-04-08,23.7851,-0.017572
CTRA,2025-04-09,25.0130,0.051626
CTRA,2025-04-10,23.8818,-0.045226
CTRA,2025-04-11,24.3266,0.018623
CTRA,2025-04-14,24.3846,0.002385
CTRA,2025-04-15,24.4813,0.003965
CTRA,2025-04-16,24.7810,0.012243
CTRA,2025-04-17,24.9937,0.008584
CTRA,2025-04-21,23.9881,-0.040232
CTRA,2025-04-22,24.2492,0.010883
CTRA,2025-04-23,24.5199,0.011164
CTRA,2025-04-24,24.6166,0.003943
CTRA,2025-04-25,24.5296,-0.003535
CTRA,2025-04-28,24.8680,0.013796
CTRA,2025-04-29,24.6650,-0.008165
CTRA,2025-04-30,23.7464,-0.037240
CTRA,2025-05-01,24.0655,0.013436
CTRA,2025-05-02,24.8197,0.031338
CTRA,2025-05-05,24.4329,-0.015582
CTRA,2025-05-06,22.1704,-0.092600
CTRA,2025-05-07,21.8514,-0.014392
CTRA,2025-05-08,22.3541,0.023009
CTRA,2025-05-09,22.6152,0.011678
CTRA,2025-05-12,23.3307,0.031637
CTRA,2025-05-13,23.9398,0.026109
CTRA,2025-05-14,24.1525,0.008885
CTRA,2025-05-15,24.0842,-0.002827
CTRA,2025-05-16,24.1915,0.004455
CTRA,2025-05-19,23.8989,-0.012097
CTRA,2025-05-20,24.2696,0.015510
CTRA,2025-05-21,23.8891,-0.015675
CTRA,2025-05-22,23.8111,-0.003267
CTRA,2025-05-23,23.9184,0.004506
CTRA,2025-05-27,24.2501,0.013866
CTRA,2025-05-28,23.9574,-0.012068
CTRA,2025-05-29,24.1233,0.006922
CTRA,2025-05-30,23.7136,-0.016984
CTRA,2025-06-02,24.4647,0.031674
CTRA,2025-06-03,24.8158,0.014354
CTRA,2025-06-04,24.2793,-0.021620
CTRA,2025-06-05,24.2208,-0.002411
CTRA,2025-06-06,24.9524,0.030205
CTRA,2025-06-09,25.3133,0.014464
CTRA,2025-06-10,25.2353,-0.003083
CTRA,2025-06-11,25.1475,-0.003479
CTRA,2025-06-12,25.4987,0.013964
CTRA,2025-06-13,26.0449,0.021423
CTRA,2025-06-16,25.8401,-0.007865
CTRA,2025-06-17,26.0352,0.007550
CTRA,2025-06-18,26.0937,0.002248
CTRA,2025-06-20,26.3083,0.008224
CTRA,2025-06-23,26.0547,-0.009640
CTRA,2025-06-24,26.1522,0.003744
